ResearcherName,FieldOfResearch,TopicName,Percentage
Andhika Estiyono,Engineering,Electric Car,100.0
Andhika Estiyono,Engineering,Engineering,50.0
Andhika Estiyono,Engineering,Ergonomics,50.0
Andhika Estiyono,Engineering,Internal Combustion Engine,50.0
Andhika Estiyono,Engineering,Lithium Ion Battery,25.0
Andhika Estiyono,Engineering,Front Wheel,25.0
Andhika Estiyono,Engineering,Passenger Cars,25.0
Andhika Estiyono,Engineering,Design Result,25.0
Andhika Estiyono,Engineering,Wheelbase,25.0
Andhika Estiyono,Engineering,Headlamp,25.0
Andhika Estiyono,Engineering,Part Design,25.0
Andhika Estiyono,Engineering,Energy Crisis,25.0
Andhika Estiyono,Engineering,Electrical Technology,25.0
Andhika Estiyono,Engineering,Fuel Energy,25.0
Andhika Estiyono,Engineering,Body Part,25.0
Andhika Estiyono,Engineering,Electric Motor,25.0
Andhika Estiyono,Engineering,Scale Model,25.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Air Pollution,100.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Air Conditioning,91.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Air Filter,91.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Air Conditioning System,91.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Frame,60.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Energy Engineering,55.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Ergonomics,50.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Apartment Building,44.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Coefficient of Performance,43.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Airflow Pattern,41.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Road,40.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Building Unit,37.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Prototype,35.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Static Loading,34.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Bicycle Frame,34.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Computer Simulation,34.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Thermal Comfort,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Design Alternative,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Thermal Simulation,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Operational Cost,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Design Method,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Pressure Drop,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Building Construction,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Drive System,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Cooling Load,30.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Computational Fluid Dynamics,24.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Design Engineering,20.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Finite Element Simulation,15.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Air Velocity,15.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Effective Solution,15.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Minimum Standard,15.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Design Process,15.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Technological Development,15.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Exhaust Gas,15.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Pipe Diameter,11.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Input Value,11.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Measurement,11.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Product Design,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Engineering Analysis,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Computer Aided Engineering,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Patent Right,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Problem Statement,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Computer Aided Manufacturing,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Finite Element Analysis,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Construction Engineering,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Computer Aided Design,10.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Building Industry,9.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Energy Conservation,9.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Flow Pattern,9.0
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Air Flow,
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,dataFT KBD.xlsx,
Bambang Iskandriawan, Prof., Dr., Ir., M.Eng.,Engineering,Product design techniques,
Ari Dwi Krisbianto, S.T., M.Ds.,Engineering,Frame,100.0
Ari Dwi Krisbianto, S.T., M.Ds.,Engineering,Finite Element Simulation,50.0
Ari Dwi Krisbianto, S.T., M.Ds.,Engineering,Technological Development,50.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Obstetrics,66.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Gynecology,66.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Congenital Malformation,50.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Surgeon,50.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Computer Assisted Tomography,41.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Pediatrics,40.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Manikin,35.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Surgery,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Spastic Diplegia,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Apoplexy,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Brain Injury,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Power Grip,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Artery Catheterization,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Coronary Artery,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Lower Eyelid,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Facies,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Pediatrician,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Quality of Life,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Bifrontal Craniotomy,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Bone Defect,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Cartilage Graft,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Congenital Disorder,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Agenesis,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Pedicle,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Psychiatrist,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Rhinoplasty,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Major Surgery,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Microphthalmia,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Colombma,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Base,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Biocompatible Material,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Hydroxylapatite,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Dental Implant,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Ear Malformation,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Poly(methyl Methacrylate),33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,External Ear,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Glycemic Control,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Medication Compliance,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Blood Glucose Monitoring,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Insulin Dependent Diabetes Mellitus,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Rating Scale,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Internal Anal Sphincter,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Intervention Study,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Covid-,1933.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Injury,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Abdominal Hysterectomy,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Hysterectomy,33.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Foreign Body,25.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Motor Performance,22.0
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Health Care Cost,
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,dataFT KBD.xlsx,
Djoko Kuswanto, S.T., M.Biotech.,Medicine and Dentistry,Product design techniques,
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Ultimate Tensile Strength,55.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Internals,33.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Snap Fit,33.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Daily Life,33.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Modular Concept,33.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Solidification Time,33.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Plastic Recycling,33.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Drive System,33.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Ergonomics,33.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Waste Treatment,33.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Prototype,33.0
Djoko Kuswanto, S.T., M.Biotech.,Engineering,Prosthesis,33.0
